Wall time,Step,Value
1588444461.391776,0,0.7818841338157654
1588444461.9780226,1,0.6812450885772705
1588444462.5419571,2,0.6704660654067993
1588444463.1047575,3,0.6157268285751343
1588444463.673866,4,0.498409241437912
1588444464.2418644,5,0.4247109591960907
1588444464.812079,6,0.43497616052627563
1588444465.3757122,7,0.35889193415641785
1588444465.9463067,8,0.32841625809669495
1588444466.5254161,9,0.2929171323776245
1588444467.0921884,10,0.2494334876537323
1588444467.660817,11,0.22326774895191193
1588444468.2335362,12,0.19608256220817566
1588444468.7981594,13,0.1839422583580017
1588444469.3720436,14,0.15926174819469452
1588444469.9518712,15,0.1191212385892868
1588444470.5347688,16,0.08926975727081299
1588444471.0959375,17,0.0701117217540741
1588444471.6810765,18,0.049244463443756104
1588444472.2572846,19,0.03490563854575157
1588444472.8392901,20,0.03040364943444729
1588444473.4338174,21,0.02065909467637539
1588444474.0246463,22,0.017041709274053574
1588444474.6120853,23,0.009267720393836498
1588444475.2006721,24,0.00643882667645812
1588444475.7915618,25,0.0039249383844435215
1588444476.3732128,26,0.0031232459004968405
1588444476.9634728,27,0.002324520144611597
1588444477.5321457,28,0.0017256115097552538
1588444478.1502922,29,0.0014607316115871072
1588444478.742831,30,0.0012798021780326962
1588444479.3205361,31,0.00112819648347795
1588444479.9106345,32,0.001012170221656561
1588444480.5049732,33,0.0009447998018004
1588444481.0897992,34,0.0008566764299757779
1588444481.7349622,35,0.0007810775423422456
1588444482.3268938,36,0.0007224968867376447
1588444482.9409544,37,0.0006671813316643238
1588444483.5620532,38,0.0006256329943425953
1588444484.1712315,39,0.0005819349316880107
1588444484.800811,40,0.0005476635415107012
1588444485.4178872,41,0.0005171656375750899
1588444486.0167334,42,0.000490645004902035
1588444486.6647723,43,0.0004545057308860123
1588444487.2758465,44,0.00043132808059453964
1588444487.9580057,45,0.00040640795486979187
1588444488.6487193,46,0.0003836115647573024
1588444489.2846675,47,0.00036503770388662815
1588444489.8754032,48,0.00034658092772588134
1588444490.4776015,49,0.0003297341463621706
1588444491.0753293,50,0.0003127566596958786
1588444491.6799614,51,0.00029943176195956767
1588444492.3067808,52,0.00028753053629770875
1588444492.9080343,53,0.0002738560433499515
1588444493.5296402,54,0.00026332653942517936
1588444494.1560104,55,0.00025286112213507295
1588444494.7778184,56,0.00024169895914383233
1588444495.4184792,57,0.00023090392642188817
1588444496.0170562,58,0.00022211640316527337
1588444496.6246274,59,0.00021283300884533674
1588444497.2278922,60,0.00020505448628682643
1588444497.863139,61,0.000197541929082945
1588444498.4888642,62,0.00019027822418138385
1588444499.1217482,63,0.00018409022595733404
1588444499.7426205,64,0.00017724013014230877
1588444500.351779,65,0.00017150169878732413
1588444500.9776728,66,0.00016501592472195625
1588444501.5912063,67,0.00016185236745513976
1588444502.1982386,68,0.0001541956007713452
1588444502.825043,69,0.00015051200171001256
1588444503.4719844,70,0.0001449697301723063
1588444504.10434,71,0.00014028149598743767
1588444504.7251217,72,0.00013586260320153087
1588444505.3599463,73,0.0001320778828812763
1588444506.004277,74,0.00012767809676006436
1588444506.6478484,75,0.00012393921497277915
1588444507.275467,76,0.00012026147305732593
1588444507.9129567,77,0.0001171486364910379
1588444508.551061,78,0.00011338648619130254
1588444509.1985245,79,0.00011050594912376255
